ID,Name,URL,Type,Feature Type,Output Format,Version,Visible
44,Verkehrslage auf Autobahnen,https://geodienste.hamburg.de/wfs_verkehrslage_autobahnen_schleifen,WFS,bab_vkl,XML,1.1.0,Yes
46,Elektro Ladestandorte Hamburg,https://geodienste.hamburg.de/HH_WFS_EMobility,WFS,stromnetz_emobility,XML,1.1.0,Yes
47,Baustellen auf Hauptverkehrs- und BundesfernstraÃŸen Hamburg,https://geodienste.hamburg.de/HH_WFS_Baustellen,WFS,tns_steckbrief_visualisierung,XML,1.1.0,Yes
48,BehindertenstellplÃ¤tze,https://geodienste.hamburg.de/wfs_behindertenstellplaetze,WFS,behindertenstellplaetze,XML,1.1.0,Yes
49,Verkehrskameras,https://geodienste.hamburg.de/wfs_verkehrskameras,WFS,verkehrskameras,XML,1.1.0,Yes
50,MotorradstellplÃ¤tze,https://geodienste.hamburg.de/wfs_motorradstellplaetze,WFS,motorradstellplaetze,XML,1.1.0,Yes
52,ParkhÃ¤user,https://geodienste.hamburg.de/wfs_parkhaeuser,WFS,parkhaeuser,XML,1.1.0,Yes
53,ReisebusparkplÃ¤tze,https://geodienste.hamburg.de/wfs_reisebusparkplaetze,WFS,reisebusparkplaetze,XML,1.1.0,Yes
54,Jahrgang 1925-1930,https://geodienste.hamburg.de/HH_WMS_Historische_Karte_1_5000,WMS,,,1.3.0,Yes
58,Jahrgang 1930-1940,https://geodienste.hamburg.de/HH_WMS_Historische_Karte_1_5000,WMS,,,1.3.0,Yes
62,Jahrgang 1940-1950,https://geodienste.hamburg.de/HH_WMS_Historische_Karte_1_5000,WMS,,,1.3.0,Yes
66,Jahrgang 1950-1960,https://geodienste.hamburg.de/HH_WMS_Historische_Karte_1_5000,WMS,,,1.3.0,Yes
70,Jahrgang 1960-1970,https://geodienste.hamburg.de/HH_WMS_Historische_Karte_1_5000,WMS,,,1.3.0,Yes
74,Jahrgang 1970-1980,https://geodienste.hamburg.de/HH_WMS_Historische_Karte_1_5000,WMS,,,1.3.0,Yes
78,Jahrgang 1980-1990,https://geodienste.hamburg.de/HH_WMS_Historische_Karte_1_5000,WMS,,,1.3.0,Yes
82,Jahrgang 1990-2000,https://geodienste.hamburg.de/HH_WMS_Historische_Karte_1_5000,WMS,,,1.3.0,Yes
86,Jahrgang 2005,https://geodienste.hamburg.de/HH_WMS_Historische_Karte_1_5000,WMS,,,1.3.0,Yes
90,Jahrgang 2010,https://geodienste.hamburg.de/HH_WMS_Historische_Karte_1_5000,WMS,,,1.3.0,Yes
94,Digitale Orthophotos Hamburg (RGB),https://geodienste.hamburg.de/HH_WMS_DOP,WMS,,,1.3.0,Yes
95,StraÃŸenverkehr Tag Abend Nacht 2022,https://geodienste.hamburg.de/HH_WMS_Strassenverkehr,WMS,,,1.3.0,Yes
96,StraÃŸenverkehr Nacht 2022,https://geodienste.hamburg.de/HH_WMS_Strassenverkehr,WMS,,,1.3.0,Yes
146,StraÃŸenbaumkataster Hamburg,https://geodienste.hamburg.de/HH_WFS_Strassenbaumkataster,WFS,strassenbaumkataster,XML,1.1.0,Yes
149,TN_Vegetation,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
150,TN_Siedlung,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
151,UntergeordnetesGewaesser_Linie,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
152,UntergeordnetesGewaesser_Flaeche,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
153,TN_Gewaesser,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
154,Bauwerke_Verkehrsbereich_Flaeche,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
155,TN_Verkehr,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
156,Bauwerke_Siedlungsflaechen_Flaeche,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
157,Bauwerke_Verkehr_Flaeche,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
158,Gebaeude,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
159,Boeschung_Flaeche,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
160,Boeschung_Linie,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
161,Bauwerke_Verkehr_Linie2,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
162,Bauwerke_Siedlungsflaechen_Linie,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
163,Bauwerke_Verkehr_Linie1,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
164,Bauwerke_Verkehr_Punkte,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
165,Flurstuecksumringe,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
166,Baeume,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
167,Zuordnungspfeil,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
170,Geschosse,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
171,Strassenname,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
172,Hausnummer,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
177,Flurstuecksnummer,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
178,ALKIS Bezirke,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte_GB,WMS,,,1.3.0,Yes
182,Strassenbaumkataster Hamburg,https://geodienste.hamburg.de/HH_WMS_Strassenbaumkataster,WMS,,,1.3.0,Yes
184,Strassenname,https://geodienste.hamburg.de/HH_WMS_ALKIS_Adressen,WMS,,,1.3.0,Yes
185,Hausnummer,https://geodienste.hamburg.de/HH_WMS_ALKIS_Adressen,WMS,,,1.3.0,Yes
186,Flurstuecksinfo,https://geodienste.hamburg.de/HH_WMS_ALKIS_Adressen,WMS,,,1.3.0,Yes
187,Gebaeude,https://geodienste.hamburg.de/HH_WMS_ALKIS_Adressen,WMS,,,1.3.0,Yes
188,Adresse,https://geodienste.hamburg.de/HH_WMS_ALKIS_Adressen,WMS,,,1.3.0,Yes
193,HK- 4000- Fuss,https://geodienste.hamburg.de/HH_WMS_Gitternetze,WMS,,,1.3.0,Yes
194,HK- 1000- Fuss,https://geodienste.hamburg.de/HH_WMS_Gitternetze,WMS,,,1.3.0,Yes
195,HK- 250- Fuss,https://geodienste.hamburg.de/HH_WMS_Gitternetze,WMS,,,1.3.0,Yes
196,HK- 1000- Meter,https://geodienste.hamburg.de/HH_WMS_Gitternetze,WMS,,,1.3.0,Yes
197,HK- 500- Meter,https://geodienste.hamburg.de/HH_WMS_Gitternetze,WMS,,,1.3.0,Yes
198,HK- 250- Meter,https://geodienste.hamburg.de/HH_WMS_Gitternetze,WMS,,,1.3.0,Yes
199,HK- 200- Meter,https://geodienste.hamburg.de/HH_WMS_Gitternetze,WMS,,,1.3.0,Yes
200,DTK 25 Regelblattschnitt GK3 transformiert in UTM32,https://geodienste.hamburg.de/HH_WMS_Gitternetze,WMS,,,1.3.0,Yes
201,ETRS 89- UTM- 1 km,https://geodienste.hamburg.de/HH_WMS_Gitternetze,WMS,,,1.3.0,Yes
202,DHDN- GK- 1 km,https://geodienste.hamburg.de/HH_WMS_Gitternetze,WMS,,,1.3.0,Yes
203,ETRS 89- UTM- 100 m,https://geodienste.hamburg.de/HH_WMS_Gitternetze,WMS,,,1.3.0,Yes
211,Amtsgerichte,https://geodienste.hamburg.de/HH_WMS_Amtsgerichte,WMS,,,1.3.0,Yes
213,2. Finanzamtsbezirke,https://geodienste.hamburg.de/wms_hh_finanzamtbezirke,WMS,,,1.3.0,Yes
353,Bauwerke,https://geodienste.hamburg.de/HH_WFS_Geotourismus,WFS,bauwerke,XML,1.1.0,Yes
356,Bergbau,https://geodienste.hamburg.de/HH_WFS_Geotourismus,WFS,bergbau,XML,1.1.0,Yes
367,Gebietsgrenzen Polizeikommissariate,https://geodienste.hamburg.de/HH_WMS_PKGrenzen,WMS,,,1.3.0,Yes
368,TN_Vegetation,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
369,TN_Siedlung,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
370,UntergeordnetesGewaesser_Linie,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
371,UntergeordnetesGewaesser_Flaeche,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
372,TN_Gewaesser,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
373,Bauwerke_Verkehrsbereich_Flaeche,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
374,TN_Verkehr,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
375,Bauwerke_Siedlungsflaechen_Flaeche,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
376,Bauwerke_Verkehr_Flaeche,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
377,Gebaeude,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
378,Boeschung_Flaeche,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
379,Boeschung_Linie,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
380,Bauwerke_Verkehr_Linie2,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
381,Bauwerke_Siedlungsflaechen_Linie,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
382,Bauwerke_Verkehr_Linie1,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
383,Bauwerke_Verkehr_Punkte,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
384,Flurstuecksumringe,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
385,Baeume,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
386,Zuordnungspfeil,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
389,Geschosse,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
390,Strassenname,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
392,Flurstuecksnummer,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
395,Hausnummer,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
397,ALKIS_Bezirke,https://geodienste.hamburg.de/HH_WMS_ALKIS_Basiskarte,WMS,,,1.3.0,Yes
398,Lichtsignalanlagen Knotengrunddaten,https://geodienste.hamburg.de/HH_WMS_Lichtsignalanlagen,WMS,,,1.3.0,Yes
412,Bauschutzbereich Flugverkehr,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
413,Bauschutzbereich Paragraph 12 Abs3 S1 Nr1b LuftVG,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
416,Bauschutzbereich Paragraph 12 Abs3 S1 Nr1a LuftVG,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
417,Bauschutzbereich Paragraph 12 Abs2 LuftVG,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
418,"Anflugsektoren 8,5km NebenlandeflÃ¤chen",https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
420,Anflugsektoren 15km HauptlandeflÃ¤chen,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
422,Anflugsektoren 10km HauptlandeflÃ¤chen,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
424,Landebahnpuffer 500m - SicherheitsflÃ¤che,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
425,Landebahnpuffer 150m - Schutzstreifen,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
426,Landebahnachsen,https://geodienste.hamburg.de/HH_WMS_Bauschutzbereich_12_LuftVG,WMS,,,1.3.0,Yes
