ID;Name;URL;Type;Feature Type;Output Format;Version;Visible;description
44;Verkehrslage auf Autobahnen;https://geodienste.hamburg.de/wfs_verkehrslage_autobahnen_schleifen;WFS;bab_vkl;XML;1.1.0;Yes;Verkehrslage auf Autobahnen, bereitgestellt ?ber den WFS-Dienst (Feature-Type: bab_vkl) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
46;Elektro Ladestandorte Hamburg;https://geodienste.hamburg.de/HH_WFS_EMobility;WFS;stromnetz_emobility;XML;1.1.0;Yes;Elektro Ladestandorte Hamburg, bereitgestellt ?ber den WFS-Dienst (Feature-Type: stromnetz_emobility) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
47;Baustellen auf Hauptverkehrs- und Bundesfernstraßen Hamburg;https://geodienste.hamburg.de/HH_WFS_Baustellen;WFS;tns_steckbrief_visualisierung;XML;1.1.0;Yes;Baustellen auf Hauptverkehrs- und Bundesfernstraßen Hamburg, bereitgestellt ?ber den WFS-Dienst (Feature-Type: tns_steckbrief_visualisierung) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
48;Behindertenstellplätze;https://geodienste.hamburg.de/wfs_behindertenstellplaetze;WFS;behindertenstellplaetze;XML;1.1.0;Yes;Behindertenstellplätze, bereitgestellt ?ber den WFS-Dienst (Feature-Type: behindertenstellplaetze) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
49;Verkehrskameras;https://geodienste.hamburg.de/wfs_verkehrskameras;WFS;verkehrskameras;XML;1.1.0;Yes;Verkehrskameras, bereitgestellt ?ber den WFS-Dienst (Feature-Type: verkehrskameras) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
50;Motorradstellplätze;https://geodienste.hamburg.de/wfs_motorradstellplaetze;WFS;motorradstellplaetze;XML;1.1.0;Yes;Motorradstellplätze, bereitgestellt ?ber den WFS-Dienst (Feature-Type: motorradstellplaetze) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
52;Parkhäuser;https://geodienste.hamburg.de/wfs_parkhaeuser;WFS;parkhaeuser;XML;1.1.0;Yes;Parkhäuser, bereitgestellt ?ber den WFS-Dienst (Feature-Type: parkhaeuser) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
53;Reisebusparkplätze;https://geodienste.hamburg.de/wfs_reisebusparkplaetze;WFS;reisebusparkplaetze;XML;1.1.0;Yes;Reisebusparkplätze, bereitgestellt ?ber den WFS-Dienst (Feature-Type: reisebusparkplaetze) im XML-Format. Version 1.1.0, ?ffentlich zug?nglich.
54;Jahrgang 1925-1930;https://geodienste.hamburg.de/HH_WMS_Historische_Karte_1_5000;WMS;;;1.3.0;Yes;Jahrgang 1925-1930, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
58;Jahrgang 1930-1940;https://geodienste.hamburg.de/HH_WMS_Historische_Karte_1_5000;WMS;;;1.3.0;Yes;Jahrgang 1930-1940, dargestellt als WMS-Dienst im nan-Format. Version 1.3.0, ?ffentlich zug?nglich.
